10	1.477	0.18	5864.4	18.75	180.5
20	1.775	0.252	6887.6	18.1111	213
30	1.984	0.276	7914	16.7	225.4
40	2.209	0.318	8625.2	16.2	240.8
50	2.265	0.272	8756	14.2	248
60	2.487	0.322	9365.6	14.9	263.5
70	2.492	0.342	9332.4	14.6	266.3
80	2.822	0.308	9922.8	13.2	287.9
90	2.91	0.364	10074.4	15.1	295.3
100	3.04	0.404	10274	13.4	303.5
110	3.234	0.504	10596.8	15.1	317.9
120	3.46	0.396	10961.2	13.3	331.4
130	3.63	0.378	11192.4	11.3	342.2
140	3.821	0.434	11518.8	14.5	354.6
150	3.906	0.486	11626.8	13.8	361.1
160	4.098	0.534	11940.4	14.3	372.9
170	4.407	0.576	13172	13.3	390.3
180	4.512	0.594	13751.6	14.4	396.7
190	4.894	0.584	14890.8	13.4	414.9
200	4.934	0.562	15204	12.8	420.7
210	5.107	0.894	15683.6	13.5	431.4
220	5.433	0.624	16255.2	13	447.5
230	5.485	0.614	16254.8	12.5	452.8
240	5.899	0.74	16904	13	469.7
250	5.992	0.69	17117.2	12.5	476.4
